filename,width,height,class,xmin,ymin,xmax,ymax
63175eb17be1e63175eb17be24_frame57_jpg.rf.be5b677e6afb270c2e0823565dcc4d99.jpg,640,640,Plastic,347,341,541,492
63971668873496397166887351_frame1_jpg.rf.bfc3ee14ff713c277afd7fb1cf77ec1c.jpg,640,640,Metal,1,245,331,550
63971668873496397166887351_frame1_jpg.rf.bfc3ee14ff713c277afd7fb1cf77ec1c.jpg,640,640,Bin,4,12,639,466
62c692e42087e62c692e420884_frame45_jpg.rf.bf6c3ddb377375d3d49ed0ddd07a415f.jpg,640,640,Bin,1,0,571,441
62c692e42087e62c692e420884_frame45_jpg.rf.bf6c3ddb377375d3d49ed0ddd07a415f.jpg,640,640,Metal,141,245,279,306
62d7fda9a83a962d7fda9a83b1_frame11_jpg.rf.c11cebd62418c1b2c6cc442d18f89a8a.jpg,640,640,Glass,311,158,453,323
63f22a2944e6163f22a2944e62_frame40_jpg.rf.beb7a2b986a6d5087c1263ca4688013c.jpg,640,640,Metal,343,15,613,168
63f22a2944e6163f22a2944e62_frame40_jpg.rf.beb7a2b986a6d5087c1263ca4688013c.jpg,640,640,Bin,1,486,640,640
63f22a2944e6163f22a2944e62_frame40_jpg.rf.beb7a2b986a6d5087c1263ca4688013c.jpg,640,640,Bin,1,0,640,326
62ac3ee0d10b362ac3ee0d10ba_frame5_jpg.rf.c18e839aae179d970465132ce1b140b9.jpg,640,640,Plastic,312,215,569,421
63171c1284c5163171c1284c57_frame0_jpg.rf.c1b543a2a59737ddb4e3fce01a0b6e5e.jpg,640,640,Glass,0,155,463,640
62c4a5cbc69b262c4a5cbc69bf_frame5_jpg.rf.c1efd063f5d2c6a8643cd8a73ec173b5.jpg,640,640,Metal,164,212,451,307
62c4a5cbc69b262c4a5cbc69bf_frame5_jpg.rf.c1efd063f5d2c6a8643cd8a73ec173b5.jpg,640,640,Bin,0,178,640,480
6345580c0b3426345580c0b354_frame21_jpg.rf.c181edca570d27f513e01a0b9824f04b.jpg,640,640,Metal,1,492,289,640
6345580c0b3426345580c0b354_frame21_jpg.rf.c181edca570d27f513e01a0b9824f04b.jpg,640,640,Bin,3,252,544,640
63f22a2944e6163f22a2944e62_frame60_jpg.rf.c10dc7fb2614d891621035f9b95fa78e.jpg,640,640,Metal,13,17,321,247
63f22a2944e6163f22a2944e62_frame60_jpg.rf.c10dc7fb2614d891621035f9b95fa78e.jpg,640,640,Bin,3,549,637,640
63f22a2944e6163f22a2944e62_frame60_jpg.rf.c10dc7fb2614d891621035f9b95fa78e.jpg,640,640,Bin,0,0,640,568
62c692e42087e62c692e420884_frame56_jpg.rf.c08502128ebda253b4a0f5541c6825aa.jpg,640,640,Metal,128,238,257,311
638898d62650b638898d626515_frame16_jpg.rf.c0cadc8717a04611e7113bfa538da83a.jpg,640,640,Glass,311,121,429,325
62b43520ef6d262b43520ef6db_frame19_jpg.rf.bfe4cad672ef18d474772fae819f2d8e.jpg,640,640,Metal,181,240,340,345
62b43520ef6d262b43520ef6db_frame19_jpg.rf.bfe4cad672ef18d474772fae819f2d8e.jpg,640,640,Metal,65,158,332,255
62b43520ef6d262b43520ef6db_frame19_jpg.rf.bfe4cad672ef18d474772fae819f2d8e.jpg,640,640,Bin,11,0,600,420
6409b96379eab6409b96379eb4_frame28_jpg.rf.c113ddda7b329823e1dd88d3d62bb7fb.jpg,640,640,Glass,163,135,412,361
62a3371f42f9562a3371f42f9c_frame33_jpg.rf.c05a95b2c3b33d39ee6b722eaee6eacf.jpg,640,640,Glass,0,132,279,640
6387216fc50fc6387216fc5108_frame16_jpg.rf.c11fc058aa79a8510a8c1c47654857e0.jpg,640,640,Metal,245,385,328,472
6387216fc50fc6387216fc5108_frame16_jpg.rf.c11fc058aa79a8510a8c1c47654857e0.jpg,640,640,Bin,1,220,589,640
6387216fc50fc6387216fc5108_frame16_jpg.rf.c11fc058aa79a8510a8c1c47654857e0.jpg,640,640,Bin,1,220,591,640
63f22a2944e6163f22a2944e62_frame75_jpg.rf.bf039f57479795aa1a95b544504e366b.jpg,640,640,Metal,373,4,640,217
63f22a2944e6163f22a2944e62_frame75_jpg.rf.bf039f57479795aa1a95b544504e366b.jpg,640,640,Bin,1,519,640,640
63f22a2944e6163f22a2944e62_frame75_jpg.rf.bf039f57479795aa1a95b544504e366b.jpg,640,640,Bin,1,0,639,334
6409b96379eab6409b96379eb4_frame8_jpg.rf.c0781562a7784bc2839f404f650cc3c6.jpg,640,640,Glass,201,130,461,440
62b0acf7591de62b0acf7591e7_frame4_jpg.rf.c14e5748231834cc5308b931564f586b.jpg,640,640,Other,0,227,523,242
62b0acf7591de62b0acf7591e7_frame4_jpg.rf.c14e5748231834cc5308b931564f586b.jpg,640,640,Other,0,227,523,242
62c692e42087e62c692e420884_frame37_jpg.rf.c09f12e2f017667f1bb147689e04687e.jpg,640,640,Metal,123,223,283,332
62c692e42087e62c692e420884_frame37_jpg.rf.c09f12e2f017667f1bb147689e04687e.jpg,640,640,Bin,1,0,596,463
633f00fd78f63633f00fd78f79_frame14_jpg.rf.c132193e9d7197b8bccb7c789e91ae30.jpg,640,640,Metal,0,186,236,285
633f00fd78f63633f00fd78f79_frame14_jpg.rf.c132193e9d7197b8bccb7c789e91ae30.jpg,640,640,Bin,1,111,640,446
62b5c68b8a86362b5c68b8a867_frame3_jpg.rf.c0bff6ae4c0536e27cd3be65a1110d3d.jpg,640,640,Metal,1,302,309,640
62b5c68b8a86362b5c68b8a867_frame3_jpg.rf.c0bff6ae4c0536e27cd3be65a1110d3d.jpg,640,640,Bin,3,137,536,613
6308837225e8e6308837225e9e_frame105_jpg.rf.bf13b6686672161e7ebd1ebce00837ac.jpg,640,640,Plastic,205,309,383,406
631f2b2a82d51631f2b2a82d57_frame39_jpg.rf.c21323cdcd606e20d11528d100a42041.jpg,640,640,Glass,309,142,452,234
62f4b2c38731e62f4b2c387327_frame6_jpg.rf.c28ef0e5bb0dca429453c3f1a331c024.jpg,640,640,Metal,192,24,359,98
62f4b2c38731e62f4b2c387327_frame6_jpg.rf.c28ef0e5bb0dca429453c3f1a331c024.jpg,640,640,Metal,224,109,585,364
62f4b2c38731e62f4b2c387327_frame6_jpg.rf.c28ef0e5bb0dca429453c3f1a331c024.jpg,640,640,Metal,36,186,461,456
6304a2346f3976304a2346f39c_frame47_jpg.rf.c3277ccf5537952604d895c4970204e1.jpg,640,640,Glass,329,324,445,380
6345580c0b3426345580c0b354_frame40_jpg.rf.c34421199af949366cae081ab225bbe7.jpg,640,640,Metal,291,512,376,555
6345580c0b3426345580c0b354_frame40_jpg.rf.c34421199af949366cae081ab225bbe7.jpg,640,640,Bin,32,276,639,640
62d7f647113d262d7f647113d9_frame3_jpg.rf.c346c8dca0659134b62a706a764f226f.jpg,640,640,Glass,309,28,639,640
63917728965bb63917728965c5_frame3_jpg.rf.c36df0a35af266529c2133210d0a410a.jpg,640,640,Metal,270,328,639,640
63917728965bb63917728965c5_frame3_jpg.rf.c36df0a35af266529c2133210d0a410a.jpg,640,640,Bin,551,350,639,518
63917728965bb63917728965c5_frame3_jpg.rf.c36df0a35af266529c2133210d0a410a.jpg,640,640,Bin,1,229,537,640
62bc6172ebedd62bc6172ebee0_frame45_jpg.rf.c36d24574d1008b2f4ff546e1a537448.jpg,640,640,Metal,255,318,532,477
62bc6172ebedd62bc6172ebee0_frame45_jpg.rf.c36d24574d1008b2f4ff546e1a537448.jpg,640,640,Bin,1,276,640,640
62c1715b8961562c1715b8961a_frame5_jpg.rf.c406cb9dc76e1c8316d8707e628d3deb.jpg,640,640,Plastic,80,312,305,467
62c5233f597e562c5233f597fb_frame31_jpg.rf.c50c8f292c0fe422703dd4bc1fa333ff.jpg,640,640,Glass,1,45,225,245
62c5233f597e562c5233f597fb_frame31_jpg.rf.c50c8f292c0fe422703dd4bc1fa333ff.jpg,640,640,Glass,3,239,263,451
62c5233f597e562c5233f597fb_frame31_jpg.rf.c50c8f292c0fe422703dd4bc1fa333ff.jpg,640,640,Bin,77,0,575,322
630b5b82e02ff630b5b82e0311_frame66_jpg.rf.c521ad18121233f184b1c77c448d6cb3.jpg,640,640,Glass,80,226,159,288
630b5b82e02ff630b5b82e0311_frame66_jpg.rf.c521ad18121233f184b1c77c448d6cb3.jpg,640,640,Glass,264,300,384,474
6387216fc50fc6387216fc5108_frame18_jpg.rf.c3bfc7d3756b8678d54e3d2971649d6e.jpg,640,640,Metal,243,452,293,489
6387216fc50fc6387216fc5108_frame18_jpg.rf.c3bfc7d3756b8678d54e3d2971649d6e.jpg,640,640,Metal,283,414,411,489
6387216fc50fc6387216fc5108_frame18_jpg.rf.c3bfc7d3756b8678d54e3d2971649d6e.jpg,640,640,Bin,1,221,601,640
62b453cf8b89762b453cf8b89d_frame7_jpg.rf.c43d77e9a23599f1aae58fd1f5d8fca5.jpg,640,640,Metal,69,255,291,456
62b453cf8b89762b453cf8b89d_frame7_jpg.rf.c43d77e9a23599f1aae58fd1f5d8fca5.jpg,640,640,Bin,3,0,639,456
63175eb17be1e63175eb17be24_frame8_jpg.rf.c40026ec30ba2b8512d6cfda6e0bdb6c.jpg,640,640,Plastic,0,148,639,640
62c692e42087e62c692e420884_frame9_jpg.rf.c43b6785ca4bb21a98c5b51d46258cab.jpg,640,640,Metal,211,281,508,376
62c692e42087e62c692e420884_frame9_jpg.rf.c43b6785ca4bb21a98c5b51d46258cab.jpg,640,640,Bin,12,0,639,455
62a3371f42f9562a3371f42f9c_frame2_jpg.rf.c4af252d95b9fdf24dd127c1ffb8de05.jpg,640,640,Glass,1,132,375,640
6350d314dd2e16350d314dd2ed_frame2_jpg.rf.c3cf951ade3ba9cf7acc82b29b0bf5e1.jpg,640,640,Glass,85,235,640,581
62b308b0205ab62b308b0205b3_frame29_jpg.rf.c5355a2e04075d72b871f07b90f6997d.jpg,640,640,Metal,343,367,407,412
62bf296b26d2162bf296b26d27_frame15_jpg.rf.c5555be1defefee22506fcb908b0f411.jpg,640,640,Metal,239,271,419,397
62bf296b26d2162bf296b26d27_frame15_jpg.rf.c5555be1defefee22506fcb908b0f411.jpg,640,640,Bin,55,186,637,573
63f22a2944e6163f22a2944e62_frame33_jpg.rf.c43e5b94b12f240dd4037d06bf651e48.jpg,640,640,Metal,529,28,640,197
63f22a2944e6163f22a2944e62_frame33_jpg.rf.c43e5b94b12f240dd4037d06bf651e48.jpg,640,640,Bin,0,0,640,295
62a83b642181862a83b6421821_frame42_jpg.rf.c2fc71af0945befb9b55e1928899850c.jpg,640,640,Plastic,324,250,640,407
62c5233f597e562c5233f597fb_frame28_jpg.rf.c5701b8297cafdfe095da1d61dc66184.jpg,640,640,Glass,1,57,225,249
62c5233f597e562c5233f597fb_frame28_jpg.rf.c5701b8297cafdfe095da1d61dc66184.jpg,640,640,Glass,3,244,259,450
62c5233f597e562c5233f597fb_frame28_jpg.rf.c5701b8297cafdfe095da1d61dc66184.jpg,640,640,Bin,235,0,639,366
62d7fd17e247362d7fd17e2478_frame23_jpg.rf.c30a0708e296eaed6967db43b1e91423.jpg,640,640,Glass,369,212,435,248
62f4b2c38731e62f4b2c387327_frame17_jpg.rf.c47cee343791db364ec05a21570c5d20.jpg,640,640,Metal,241,31,400,102
62f4b2c38731e62f4b2c387327_frame17_jpg.rf.c47cee343791db364ec05a21570c5d20.jpg,640,640,Metal,269,117,609,363
62f4b2c38731e62f4b2c387327_frame17_jpg.rf.c47cee343791db364ec05a21570c5d20.jpg,640,640,Metal,91,189,481,447
62f4b2c38731e62f4b2c387327_frame17_jpg.rf.c47cee343791db364ec05a21570c5d20.jpg,640,640,Bin,1,139,640,640
62bf296b26d2162bf296b26d27_frame37_jpg.rf.c50d58859a4b3d79b86af0b70142e5bc.jpg,640,640,Metal,164,246,387,448
62bf296b26d2162bf296b26d27_frame37_jpg.rf.c50d58859a4b3d79b86af0b70142e5bc.jpg,640,640,Metal,164,246,387,448
62bf296b26d2162bf296b26d27_frame37_jpg.rf.c50d58859a4b3d79b86af0b70142e5bc.jpg,640,640,Bin,3,184,587,570
62e3a20fdee3d62e3a20fdee45_frame10_jpg.rf.c348bf99680f98f3cf846d1166d716c1.jpg,640,640,Plastic,317,329,553,392
6350d314dd2e16350d314dd2ed_frame13_jpg.rf.c53c8d18302c75ee07dd760e358ae4b1.jpg,640,640,Glass,83,226,640,563
62a3371f42f9562a3371f42f9c_frame114_jpg.rf.c5410c289f4a9d61fcecaa2d176af690.jpg,640,640,Glass,459,268,515,300
62a3371f42f9562a3371f42f9c_frame114_jpg.rf.c5410c289f4a9d61fcecaa2d176af690.jpg,640,640,Glass,372,361,423,431
62a3371f42f9562a3371f42f9c_frame114_jpg.rf.c5410c289f4a9d61fcecaa2d176af690.jpg,640,640,Glass,369,279,457,332
62a3371f42f9562a3371f42f9c_frame114_jpg.rf.c5410c289f4a9d61fcecaa2d176af690.jpg,640,640,Glass,277,321,369,392
62a3371f42f9562a3371f42f9c_frame114_jpg.rf.c5410c289f4a9d61fcecaa2d176af690.jpg,640,640,Bin,124,196,639,541
62a74efee7f6d62a74efee7f74_frame19_jpg.rf.c5879c7c24e366b348f1d013a8592486.jpg,640,640,Plastic,3,234,443,559
62b453cf8b89762b453cf8b89d_frame4_jpg.rf.c63837cea4431968d6af778d434ccd18.jpg,640,640,Metal,368,265,601,481
62b5c68b8a86362b5c68b8a867_frame1_jpg.rf.c707187307decff9348ad0b97ea9eacb.jpg,640,640,Metal,333,305,639,640
62b5c68b8a86362b5c68b8a867_frame1_jpg.rf.c707187307decff9348ad0b97ea9eacb.jpg,640,640,Bin,108,143,637,610
62a3371f42f9562a3371f42f9c_frame23_jpg.rf.c5dba96d86966c62f43933dc37cbedfe.jpg,640,640,Glass,0,162,287,640
62ac3ee0d10b362ac3ee0d10ba_frame5_jpg.rf.c893bb7bfc8b83edb424046144106d84.jpg,640,640,Plastic,71,215,328,421
